SA;1.158;1.089;2.247;0;0.000
RS;1.498;1.396;2.894;0;0.000
EB;1.759;1.385;3.144;0;0.000
OP;1.201;1.681;2.882;0;0.000
FP;1.009;1.096;2.105;0;0.000
RA;1.504;0.784;2.288;0;0.000
LJ;2.293;0.902;3.194;0;0.000
OK;-1683288844.711;1683288847.900;3.189;0;0.000
JO;1.101;1.096;2.197;0;0.000
IP;1.665;0.795;2.460;0;0.000
JS;1.799;0.780;2.580;0;0.000
DO;1.203;2.288;3.491;-2;-0.874
FK;0.954;1.622;2.577;0;0.000
HK;1.128;1.391;2.519;0;0.000
EJ;1.031;1.392;2.423;0;0.000
BC;1.202;1.087;2.289;0;0.000
KG;1.391;1.501;2.892;0;0.000
ET;1.185;1.030;2.216;0;0.000
US;1.874;3.006;4.880;-5;-1.663
HE;2.360;2.527;4.887;-5;-1.979
ME;4.871;0.122;4.993;-8;-65.659
LM;1.511;1.212;2.723;0;0.000
CO;1.206;1.994;3.200;0;0.000
JR;2.518;1.633;4.150;0;0.000
IK;2.048;1.205;3.254;0;0.000
DF;3.836;0.969;4.806;0;0.000
PW;3.707;1.214;4.921;-17;-14.003
GE;1.739;0.542;2.281;0;0.000
AN;1.743;1.090;2.833;0;0.000
UR;1.430;3.495;4.925;-5;-1.431
UT;1.858;0.912;2.770;0;0.000
HR;2.284;0.609;2.893;0;0.000
KD;2.227;1.142;3.369;0;0.000
GL;1.090;1.087;2.177;0;0.000
FI;2.093;1.091;3.183;0;0.000
IJ;4.320;0.600;4.920;-10;-16.666
EM;2.792;1.801;4.592;0;0.000
LN;2.735;1.156;3.891;0;0.000
RH;1.524;1.333;2.857;0;0.000
AC;1.029;1.277;2.307;0;0.000
AN;1.023;0.907;1.930;0;0.000
AN;1.138;0.725;1.863;0;0.000
AC;0.956;1.684;2.640;0;0.000
LN;1.329;0.916;2.246;0;0.000
AL;1.392;0.851;2.243;0;0.000
AL;1.729;0.851;2.580;0;0.000
RH;1.124;1.155;2.280;0;0.000
AL;2.055;1.276;3.331;0;0.000
AC;0.774;1.156;1.930;0;0.000
RH;1.012;1.087;2.099;0;0.000
RH;1.078;1.516;2.593;0;0.000
AN;0.971;0.901;1.872;0;0.000
AN;0.776;1.144;1.920;0;0.000
LN;1.190;2.530;3.720;0;0.000
LN;3.418;1.332;4.750;-1;-0.751
AL;1.729;0.966;2.695;0;0.000
AC;0.834;1.148;1.981;0;0.000
CA;1.126;1.518;2.644;0;0.000
RH;1.694;1.619;3.313;0;0.000
AN;1.094;1.816;2.910;0;0.000
LA;1.375;2.412;3.787;0;0.000
NA;1.689;1.812;3.500;0;0.000
AC;1.757;1.325;3.082;0;0.000
NL;1.622;1.335;2.957;0;0.000
AL;1.427;1.207;2.634;0;0.000
LN;1.690;2.529;4.219;0;0.000
HR;1.267;1.515;2.782;0;0.000
CA;0.959;1.454;2.412;0;0.000
LA;1.328;1.151;2.479;0;0.000
LN;1.689;1.090;2.779;0;0.000
RH;1.067;1.750;2.816;0;0.000
AN;1.505;0.423;1.928;0;0.000
AC;0.900;1.201;2.101;0;0.000
NA;1.011;1.263;2.273;0;0.000
NL;1.311;0.907;2.218;0;0.000
AL;0.839;1.030;1.869;0;0.000
RH;1.248;1.092;2.340;-6;-5.495
NA;1.013;1.030;2.043;-8;-7.766
LA;1.360;3.126;4.487;0;0.000
NL;1.317;1.037;2.353;0;0.000
AN;0.906;1.986;2.892;0;0.000
CA;1.377;1.022;2.400;0;0.000
AC;0.836;1.021;1.857;0;0.000
LN;1.390;0.609;1.999;0;0.000
HR;1.255;1.155;2.410;0;0.000
AL;0.887;0.975;1.862;0;0.000
RH;1.169;1.087;2.255;0;0.000
LA;2.707;1.861;4.568;-1;-0.537
NL;1.061;0.975;2.037;0;0.000
AL;1.077;3.614;4.691;0;0.000
HR;1.317;3.363;4.680;-6;-1.784
CA;0.821;2.111;2.932;0;0.000
LN;1.517;0.781;2.298;0;0.000
AN;1.077;1.085;2.162;0;0.000
NA;1.384;1.021;2.405;0;0.000
AC;0.903;1.386;2.290;0;0.000
